date;tonepr;rate_shock_abs;rate_shock_rel;moex_close;moex_spread;toneev;year;trans;trust;tonepr2;tonepr3
2019-02-08;-5.475785033299257;0.0;0.0;2502.82;-0.2406384662126726;;2019.0;8.3;0.31;0.013785080286890053;-0.0016185046437176124
2019-03-22;-5.734642773662598;0.0;0.0;2492.7;-0.610321332326258;-10.016770691126691;2019.0;8.3;0.31;0.015119215543104724;-0.0018590620596111098
2019-04-26;-6.678236802449576;0.0;0.0;2563.72;0.11786701127665111;;2019.0;8.3;0.31;0.020504073416171838;-0.0029360281980863995
2019-06-14;-6.502453963007933;-0.25;-0.03225806451612903;2739.28;-0.665837136443681;-9.733010654624437;2019.0;8.3;0.31;0.019438873397048126;-0.002710233049442127
2019-07-26;-5.605500660743729;-0.25;-0.03333333333333333;2715.68;0.6824477011098118;;2019.0;8.3;0.31;0.014445924317892923;-0.0017362729644810066
2019-09-06;-6.138628403532102;-0.25;-0.034482758620689655;2797.55;-0.29981284169329214;-10.698152053449348;2019.0;8.3;0.31;0.01732444011557388;-0.0022802833293338594
2019-10-25;-5.6597367935254175;-0.5;-0.07142857142857142;2873.41;-0.09357319828220412;;2019.0;8.3;0.31;0.01472682033728374;-0.001787160194783421
2019-12-13;-5.856208063622337;-0.25;-0.038461538461538464;2996.63;0.19072915402684743;-9.722331379666498;2019.0;8.3;0.31;0.01576701626300505;-0.0019798134638246098
2020-02-07;-5.802286649755645;-0.25;-0.04;3087.63;-0.43466315843296854;-9.91532356906116;2020.0;9.3;0.33;0.015478001338186087;-0.0019256276787358764
2020-03-20;-7.266085381653719;0.0;0.0;2331.61;0.18631092689274098;-10.205676920261253;2020.0;9.3;0.33;0.024272667834453403;-0.003781605919186581
2020-04-24;-5.7826801597065;-0.5;-0.08333333333333333;2562.03;-1.019751299445204;-9.803209180032233;2020.0;9.3;0.33;0.01537357473142808;-0.0019061729178341783
2020-06-19;-6.434003367385449;-1.0;-0.18181818181818182;2758.67;0.71411854833201;-9.963173466248818;2020.0;9.3;0.33;0.01903176588989485;-0.0026255399459731233
2020-07-24;-5.680871983653696;-0.25;-0.05555555555555555;2863.12;0.9817093480813277;-9.705252163864229;2020.0;9.3;0.33;0.014837014616040761;-0.0018072564640464577
2020-09-18;-5.744939403606889;0.0;0.0;2951.79;-0.8201952560441761;-10.96777100241738;2020.0;9.3;0.33;0.015173557804240395;-0.0018690939649568365
2020-10-23;-5.745142552313903;0.0;0.0;2816.7;0.3342819613552983;-9.921480153055436;2020.0;9.3;0.33;0.015174630937630537;-0.0018692922529226037
2020-12-18;-5.594341555113338;0.0;0.0;3273.75;-0.23919441975497335;-11.264777825907201;2020.0;9.3;0.33;0.014388465351154994;-0.0017259241790388102
2021-02-12;-5.820539028880427;0.0;0.0;3427.08;0.7030621260259551;-9.06933487555284;2021.0;9.8;0.32;0.015575533471659611;-0.0019438573706263892
2021-03-19;-5.3567417055260815;0.25;0.058823529411764705;3475.26;0.0408686022582927;-10.47012459059856;2021.0;9.8;0.32;0.013192221381878814;-0.001515224193424283
2021-04-23;-5.530048451384545;0.5;0.1111111111111111;3597.17;-0.044191647941893564;-10.174987300916673;2021.0;9.8;0.32;0.014059646190051843;-0.0016670997552658052
2021-06-11;-4.9225962021980605;0.5;0.1;3841.53;0.06640184294273155;-9.196092175684617;2021.0;9.8;0.32;0.011140506687485154;-0.001175864869669478
2021-07-23;-5.530025961481924;1.0;0.18181818181818182;3734.54;-0.6882067811874393;-10.152931560437063;2021.0;9.8;0.32;0.014059531833212652;-0.001667079415791925
2021-09-10;-5.912915441521451;0.25;0.038461538461538464;4002.66;0.22835885509415732;-10.814859030199948;2021.0;9.8;0.32;0.016073847948514547;-0.00203788552085891
2021-10-22;-5.860373883757891;0.75;0.1111111111111111;4196.96;-0.5119160934615508;-11.27328322686144;2021.0;9.8;0.32;0.01578945601063394;-0.0019840414975600866
2021-12-17;-6.725061219611952;1.0;0.13333333333333333;3723.27;-0.0475275608378567;-10.478622411220416;2021.0;9.8;0.32;0.020792609792706227;-0.002998220056922419
