date,OPEN,MAX,MIN,CLOSE,VOLUME,CAP,DURATION,YIELD
22 06 17,436.40,437.19,435.93,437.16,24 094 397 156,3 459 534 988 170.1,1 730,7.95
23 06 17,437.28,438.24,436.83,438.20,8 496 947 354,3 467 789 449 311.42,1 731,7.91
26 06 17,438.45,439.54,438.40,439.27,13 120 043 379,3 476 289 099 619.08,1 730,7.87
27 06 17,439.30,439.49,438.91,438.95,17 304 128 833,3 473 721 333 279.84,1 729,7.90
28 06 17,438.94,438.94,438.22,438.35,11 853 222 988,3 468 946 319 766.48,1 726,7.93
29 06 17,438.50,439.38,438.47,438.76,17 695 634 151,3 472 191 510 363.94,1 726,7.92
30 06 17,438.89,439.05,438.19,438.73,5 427 414 704,3 471 918 852 403.34,1 724,7.92
03 07 17,439.13,439.67,439.04,439.05,3 499 241 623,3 474 412 226 361.18,1 723,7.93
04 07 17,439.16,439.48,438.97,439.28,2 043 688 609,3 476 245 889 952.77,1 721,7.91
05 07 17,439.36,439.36,438.27,438.27,19 866 527 899,3 468 259 720 482.85,1 718,7.97
06 07 17,438.28,438.38,437.13,437.25,22 565 880 651,3 460 223 523 858.78,1 716,8.03
07 07 17,437.33,437.54,436.28,436.55,21 395 990 145,3 454 693 628 374.94,1 712,8.07
10 07 17,436.85,437.56,436.85,437.46,7 192 987 957,3 461 902 233 495.71,1 710,8.03
11 07 17,437.61,437.77,436.94,437.00,9 185 940 673,3 458 249 318 829.05,1 708,8.06
12 07 17,437.14,437.84,436.92,437.84,17 666 334 860,3 464 881 174 697.29,1 709,8.03
13 07 17,437.82,438.60,437.77,438.41,9 326 061 759,3 469 410 079 871.24,1 710,8.01
14 07 17,438.44,439.31,438.35,439.31,17 119 516 470,3 476 515 666 585.89,1 710,7.97
17 07 17,439.60,440.09,439.51,439.84,6 825 798 007,3 480 673 232 634.29,1 708,7.96
18 07 17,439.91,439.91,439.47,439.81,9 761 733 207,3 480 419 521 432.65,1 706,7.96
19 07 17,439.90,440.63,439.71,439.71,9 576 733 267,3 479 602 865 344.07,1 705,7.97
20 07 17,439.93,439.94,439.45,439.83,16 268 456 924,3 480 555 246 285.34,1 704,7.96
21 07 17,439.97,441.09,439.97,440.66,19 552 138 687,3 487 111 373 459.09,1 705,7.94
24 07 17,440.89,440.89,438.97,438.97,17 319 279 831,3 473 767 634 335.86,1 697,8.03
