BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
SNDX,IMOEX,19.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1673,86","1691,29","1701,42","1665,62","27424132779,00"
SNDX,IMOEX,20.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1695,57","1673,96","1697,70","1668,66","31893911929,00"
SNDX,IMOEX,21.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1663,31","1695,48","1695,48","1663,31","31172587927,00"
SNDX,IMOEX,24.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1634,14","1659,31","1659,31","1603,72","55532446893,00"
SNDX,IMOEX,25.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1658,13","1634,35","1672,38","1634,35","38323733852,00"
SNDX,IMOEX,26.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1660,95","1658,32","1675,07","1633,45","33226599969,00"
SNDX,IMOEX,27.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1695,22","1661,00","1697,22","1661,00","36548264407,00"
SNDX,IMOEX,28.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1719,16","1695,23","1723,18","1690,32","39788854447,00"
SNDX,IMOEX,31.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1733,17","1718,06","1733,17","1706,96","31957846027,00"
SNDX,IMOEX,01.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1697,99","1732,90","1733,68","1689,24","36516353193,00"
SNDX,IMOEX,02.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1690,82","1697,98","1716,97","1687,09","32130359306,00"
SNDX,IMOEX,03.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1710,57","1690,83","1717,15","1690,83","28714831441,00"
SNDX,IMOEX,04.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1698,16","1710,58","1712,74","1691,69","22594867129,00"
SNDX,IMOEX,07.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1701,18","1698,16","1708,58","1695,62","15677356931,00"
SNDX,IMOEX,08.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1714,18","1701,82","1732,63","1701,82","24740272103,00"
SNDX,IMOEX,09.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1722,43","1715,73","1735,84","1715,73","25665866136,00"
SNDX,IMOEX,10.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1718,90","1722,05","1730,10","1710,46","26313587477,00"
SNDX,IMOEX,11.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1718,06","1718,88","1727,89","1713,03","20355564692,00"
SNDX,IMOEX,14.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1729,75","1717,60","1740,22","1716,12","23254616054,00"
SNDX,IMOEX,15.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1716,26","1729,91","1731,49","1708,46","22870828140,00"
SNDX,IMOEX,16.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1731,81","1716,27","1734,05","1716,24","31761743733,00"
SNDX,IMOEX,17.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1729,20","1731,81","1735,50","1722,44","23027197955,00"
SNDX,IMOEX,18.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1710,84","1730,15","1739,55","1703,22","37314026508,00"
SNDX,IMOEX,21.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1699,72","1710,87","1719,18","1697,30","24417883513,00"
SNDX,IMOEX,22.09.2015,Индекс МосБиржи,Индекс МосБиржи,"1664,25","1699,92","1702,47","1656,18","35910313194,00"
