BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
RTSI,RTSI,27.11.2015,Индекс РТС,Индекс РТС,"856,30","873,67","873,67","851,29","464450454,35"
RTSI,RTSI,30.11.2015,Индекс РТС,Индекс РТС,"847,10","851,78","857,08","841,00","531435630,26"
RTSI,RTSI,01.12.2015,Индекс РТС,Индекс РТС,"839,14","845,86","850,37","833,90","447312028,74"
RTSI,RTSI,02.12.2015,Индекс РТС,Индекс РТС,"833,94","839,64","847,88","826,81","425951512,42"
RTSI,RTSI,03.12.2015,Индекс РТС,Индекс РТС,"826,96","827,59","834,15","819,09","461821289,46"
RTSI,RTSI,04.12.2015,Индекс РТС,Индекс РТС,"811,72","831,48","839,53","804,99","561872244,71"
RTSI,RTSI,07.12.2015,Индекс РТС,Индекс РТС,"793,36","812,37","813,66","791,21","452884538,15"
RTSI,RTSI,08.12.2015,Индекс РТС,Индекс РТС,"777,15","789,42","791,95","772,76","573048085,27"
RTSI,RTSI,09.12.2015,Индекс РТС,Индекс РТС,"792,41","780,26","795,88","780,26","488637348,30"
RTSI,RTSI,10.12.2015,Индекс РТС,Индекс РТС,"792,78","787,99","799,30","783,54","431454272,51"
RTSI,RTSI,11.12.2015,Индекс РТС,Индекс РТС,"777,17","789,83","789,83","771,16","381905566,09"
RTSI,RTSI,14.12.2015,Индекс РТС,Индекс РТС,"761,08","768,97","772,09","752,86","512244077,57"
RTSI,RTSI,15.12.2015,Индекс РТС,Индекс РТС,"783,65","764,43","786,97","762,63","494785872,98"
RTSI,RTSI,16.12.2015,Индекс РТС,Индекс РТС,"785,02","785,25","790,38","779,53","384944146,98"
RTSI,RTSI,17.12.2015,Индекс РТС,Индекс РТС,"792,07","786,29","797,30","780,50","585065924,78"
RTSI,RTSI,18.12.2015,Индекс РТС,Индекс РТС,"765,73","788,23","788,23","761,22","567807337,36"
RTSI,RTSI,21.12.2015,Индекс РТС,Индекс РТС,"758,97","765,35","770,09","756,44","385163085,61"
RTSI,RTSI,22.12.2015,Индекс РТС,Индекс РТС,"762,40","760,68","766,64","759,77","277235936,75"
RTSI,RTSI,23.12.2015,Индекс РТС,Индекс РТС,"785,51","760,75","785,51","760,75","379368819,51"
RTSI,RTSI,24.12.2015,Индекс РТС,Индекс РТС,"781,10","790,61","795,16","777,22","333618562,13"
RTSI,RTSI,25.12.2015,Индекс РТС,Индекс РТС,"772,94","781,59","784,34","769,44","145883406,87"
RTSI,RTSI,28.12.2015,Индекс РТС,Индекс РТС,"756,07","772,90","776,00","751,95","177786981,31"
RTSI,RTSI,29.12.2015,Индекс РТС,Индекс РТС,"769,64","754,79","770,31","750,38","305868506,68"
RTSI,RTSI,30.12.2015,Индекс РТС,Индекс РТС,"757,04","769,44","769,44","754,27","320454897,58"
RTSI,RTSI,04.01.2016,Индекс РТС,Индекс РТС,"749,28","755,16","761,68","741,67","204806462,85"
RTSI,RTSI,05.01.2016,Индекс РТС,Индекс РТС,"752,70","747,94","753,97","743,42","242929971,52"
RTSI,RTSI,06.01.2016,Индекс РТС,Индекс РТС,"736,82","753,06","754,04","735,62","210962101,14"
RTSI,RTSI,11.01.2016,Индекс РТС,Индекс РТС,"699,13","723,62","723,62","699,13","410460022,52"
RTSI,RTSI,12.01.2016,Индекс РТС,Индекс РТС,"695,32","693,61","706,31","681,28","426544306,43"
RTSI,RTSI,13.01.2016,Индекс РТС,Индекс РТС,"693,65","694,91","708,33","692,00","351746580,40"
RTSI,RTSI,14.01.2016,Индекс РТС,Индекс РТС,"692,99","690,56","694,94","681,57","409807554,05"
RTSI,RTSI,15.01.2016,Индекс РТС,Индекс РТС,"652,98","693,85","694,72","647,86","642112248,87"
RTSI,RTSI,18.01.2016,Индекс РТС,Индекс РТС,"646,90","649,79","655,06","632,19","407452779,05"
RTSI,RTSI,19.01.2016,Индекс РТС,Индекс РТС,"660,29","649,64","674,38","649,64","467484424,15"
RTSI,RTSI,20.01.2016,Индекс РТС,Индекс РТС,"628,41","653,79","653,79","625,99","491947952,24"
RTSI,RTSI,21.01.2016,Индекс РТС,Индекс РТС,"632,12","631,41","635,43","607,14","511310404,68"
RTSI,RTSI,22.01.2016,Индекс РТС,Индекс РТС,"691,40","645,12","696,30","645,12","756613036,42"
RTSI,RTSI,25.01.2016,Индекс РТС,Индекс РТС,"681,57","696,14","704,29","672,49","438277084,71"
RTSI,RTSI,26.01.2016,Индекс РТС,Индекс РТС,"683,05","671,22","685,72","655,57","421765193,97"
RTSI,RTSI,27.01.2016,Индекс РТС,Индекс РТС,"704,87","686,98","705,29","679,55","471659202,24"
RTSI,RTSI,28.01.2016,Индекс РТС,Индекс РТС,"727,13","707,10","737,58","704,78","643736599,78"
RTSI,RTSI,29.01.2016,Индекс РТС,Индекс РТС,"745,30","731,71","749,44","727,90","659466373,71"
RTSI,RTSI,01.02.2016,Индекс РТС,Индекс РТС,"730,39","744,43","744,43","723,83","401905900,94"
RTSI,RTSI,02.02.2016,Индекс РТС,Индекс РТС,"701,21","721,96","723,07","694,93","486091448,46"
RTSI,RTSI,03.02.2016,Индекс РТС,Индекс РТС,"696,96","692,92","713,67","690,19","394891869,62"
RTSI,RTSI,04.02.2016,Индекс РТС,Индекс РТС,"738,82","723,16","745,68","723,16","584762644,86"
RTSI,RTSI,05.02.2016,Индекс РТС,Индекс РТС,"725,91","732,57","737,81","720,00","365566459,87"
RTSI,RTSI,08.02.2016,Индекс РТС,Индекс РТС,"704,03","724,26","734,80","700,76","436914634,33"
RTSI,RTSI,09.02.2016,Индекс РТС,Индекс РТС,"690,37","697,93","705,33","684,39","474576766,74"
RTSI,RTSI,10.02.2016,Индекс РТС,Индекс РТС,"696,61","681,23","705,20","676,79","404139643,45"
RTSI,RTSI,11.02.2016,Индекс РТС,Индекс РТС,"671,34","692,55","692,55","663,61","492626466,72"
RTSI,RTSI,12.02.2016,Индекс РТС,Индекс РТС,"689,90","678,27","692,39","678,27","364143966,52"
RTSI,RTSI,15.02.2016,Индекс РТС,Индекс РТС,"707,24","698,56","713,53","698,03","310111607,81"
RTSI,RTSI,16.02.2016,Индекс РТС,Индекс РТС,"708,61","713,25","727,38","706,31","444663008,36"
RTSI,RTSI,17.02.2016,Индекс РТС,Индекс РТС,"735,81","708,86","739,52","705,97","444775465,15"
RTSI,RTSI,18.02.2016,Индекс РТС,Индекс РТС,"752,89","742,64","756,36","739,63","549649586,73"
RTSI,RTSI,19.02.2016,Индекс РТС,Индекс РТС,"725,98","741,49","742,99","721,60","510597674,52"
RTSI,RTSI,20.02.2016,Индекс РТС,Индекс РТС,"732,95","729,04","739,58","729,04","73364669,06"
RTSI,RTSI,22.02.2016,Индекс РТС,Индекс РТС,"761,48","733,69","762,58","733,69","264638984,54"
RTSI,RTSI,24.02.2016,Индекс РТС,Индекс РТС,"737,73","757,19","757,19","725,40","410819608,45"
RTSI,RTSI,25.02.2016,Индекс РТС,Индекс РТС,"745,53","749,63","755,55","732,40","473845522,22"
RTSI,RTSI,26.02.2016,Индекс РТС,Индекс РТС,"757,45","759,08","772,08","755,09","556355314,27"
