date,CLOSE,"Объем, RUB","Капитализация, RUB","Дюрация индекса, дней","Доходность индекса, %"
12 07 21,536.03,4 317 372 118,2 409 051 000 000,1 421,7.04
09 07 21,536.26,11 389 921 124,2 410 090 000 000,1 424,7.01
08 07 21,535.52,6 772 214 420,2 406 782 500 000,1 425,7.04
07 07 21,536.32,6 495 851 210,2 410 397 500 000,1 426,7.00
06 07 21,536.30,5 048 957 358,2 410 287 500 000,1 427,6.99
05 07 21,536.61,14 747 312 344,2 411 663 000 000,1 428,6.97
02 07 21,536.00,10 290 576 258,2 408 908 000 000,1 431,6.99
01 07 21,536.18,5 963 089 757,2 409 722 000 000,1 432,6.97
30 06 21,535.70,4 640 129 160,2 407 542 500 000,1 433,6.99
29 06 21,535.60,12 065 063 937,2 407 093 000 000,1 434,6.99
28 06 21,537.04,4 298 532 604,2 413 575 000 000,1 436,6.91
25 06 21,537.79,2 973 398 351,2 416 943 500 000,1 439,6.86
24 06 21,537.94,4 847 527 042,2 417 617 000 000,1 440,6.85
23 06 21,537.48,10 022 472 003,2 415 565 500 000,1 441,6.86
22 06 21,536.91,424 587 101,2 413 008 000 000,1 442,6.89
21 06 21,536.74,736 605 523,2 412 248 000 000,1 443,6.89
18 06 21,536.84,4 594 577 480,2 412 708 500 000,1 446,6.87
17 06 21,535.49,6 710 049 669,2 406 629 000 000,1 446,6.94
16 06 21,535.46,7 365 938 063,2 406 515 000 000,1 447,6.93
15 06 21,536.55,603 030 911,2 411 431 500 000,1 449,6.87
14 06 21,538.02,13 842 955,2 418 054 000 000,1 450,6.79
11 06 21,537.31,254 137 271,2 414 850 000 000,1 453,6.81
10 06 21,536.03,1 226 365 005,2 407 320 000 000,1 453,6.89
09 06 21,535.53,3 434 538 384,2 404 276 500 000,1 454,6.92
08 06 21,536.51,2 420 485 038,2 408 695 000 000,1 456,6.86
07 06 21,537.45,3 130 021 357,2 412 589 000 000,1 457,6.81
04 06 21,538.86,1 375 533 069,2 414 297 500 000,1 460,6.78
03 06 21,540.63,5 394 701 534,2 420 027 000 000,1 461,6.71
02 06 21,541.10,15 674 890 163,2 421 863 000 000,1 463,6.69
01 06 21,541.69,2 546 413 619,2 423 275 500 000,1 464,6.67
31 05 21,542.42,578 946 483,2 849 355 500 000,1 398,6.59
28 05 21,543.46,1 647 748 901,2 850 659 000 000,1 402,6.57
27 05 21,545.08,1 443 611 272,2 852 136 000 000,1 403,6.55
26 05 21,545.02,1 357 816 599,2 851 854 000 000,1 404,6.55
25 05 21,544.68,1 120 468 409,2 850 051 500 000,1 405,6.56
24 05 21,545.47,1 533 358 631,2 851 710 500 000,1 406,6.53
21 05 21,545.50,9 634 437 589,2 849 958 000 000,1 409,6.53
20 05 21,547.08,1 333 066 777,2 850 022 500 000,1 410,6.53
19 05 21,546.25,1 343 546 968,2 845 718 500 000,1 410,6.56
18 05 21,546.97,2 037 826 831,2 863 817 500 000,1 404,6.54
17 05 21,547.35,3 563 533 699,2 864 701 000 000,1 405,6.53
14 05 21,546.29,4 168 404 097,2 860 428 500 000,1 407,6.55
13 05 21,548.37,2 557 771 328,2 858 603 000 000,1 408,6.57
12 05 21,549.56,5 628 265 532,2 864 788 000 000,1 410,6.50
11 05 21,549.98,6 446 004 026,2 866 996 500 000,1 411,6.48
10 05 21,551.12,22 778 768,2 872 915 500 000,1 413,6.42
07 05 21,549.84,849 619 861,2 865 701 500 000,1 415,6.47
06 05 21,550.24,1 747 866 971,2 867 494 000 000,1 416,6.45
05 05 21,549.78,2 958 462 749,2 865 094 000 000,1 417,6.47
04 05 21,549.61,511 416 160,2 863 470 000 000,1 418,6.48
30 04 21,549.04,3 008 596 695,2 859 454 000 000,1 422,6.50
29 04 21,549.41,3 609 774 692,2 861 069 000 000,1 423,6.48
28 04 21,548.67,3 329 389 771,2 857 238 000 000,1 424,6.51
27 04 21,549.12,4 269 489 824,2 855 742 500 000,1 425,6.52
26 04 21,549.98,5 625 493 156,2 858 967 000 000,1 426,6.48
23 04 21,549.23,5 288 616 229,2 854 580 000 000,1 429,6.51
22 04 21,548.99,6 735 310 299,2 853 355 000 000,1 430,6.52
21 04 21,547.71,6 623 206 944,2 845 922 500 000,1 430,6.58
20 04 21,546.74,7 474 929 366,2 855 474 500 000,1 425,6.60
19 04 21,548.84,2 464 257 444,2 859 902 500 000,1 426,6.55
16 04 21,550.21,10 200 785 046,2 867 029 000 000,1 430,6.47
15 04 21,545.35,9 683 403 819,2 842 583 500 000,1 429,6.70
14 04 21,547.05,8 316 238 235,2 854 200 500 000,1 431,6.58
13 04 21,542.58,2 081 259 164,2 844 645 000 000,1 423,6.80
12 04 21,542.16,3 391 418 907,2 842 452 000 000,1 424,6.82
09 04 21,541.30,5 068 339 052,2 837 939 500 000,1 427,6.85
08 04 21,542.01,7 325 785 715,2 841 669 500 000,1 428,6.81
07 04 21,542.22,14 458 917 765,2 842 756 500 000,1 429,6.79
06 04 21,545.30,5 715 073 412,2 858 923 500 000,1 431,6.63
05 04 21,546.23,1 876 369 646,2 863 783 000 000,1 433,6.58
02 04 21,546.23,1 191 599 465,2 863 784 000 000,1 436,6.57
01 04 21,545.57,4 585 068 636,2 860 320 000 000,1 436,6.59
31 03 21,546.30,2 431 937 870,2 864 163 500 000,1 438,6.55
30 03 21,545.78,5 356 223 099,2 861 428 000 000,1 439,6.57
29 03 21,546.63,1 182 254 449,2 865 892 000 000,1 440,6.53
26 03 21,545.92,9 382 124 409,2 862 180 000 000,1 443,6.55
25 03 21,543.71,5 551 448 978,2 850 591 500 000,1 443,6.65
24 03 21,542.05,10 920 440 984,2 841 878 000 000,1 444,6.73
23 03 21,540.41,16 962 185 064,2 846 781 000 000,1 437,6.81
